Sample ID,elevation (m),field sampling date,veg cover species 1,veg cover species 2,veg cover species 3,veg cover species 4,veg cover species 5,LatitudeN,LongitudeE,Field soil pH,Lysate pH,Rainfall Intensity (ml)
1-137-HB,414,24/09/2025,myrtilus,,,,,54.527234,-2.7770252,3.44,3.78,940
2-138-HB,408,24/09/2025,moss,,,,,54.527041,-2.7761871,3.56,3.74,613
3-135-HH,415,24/09/2025,moss,,,,,54.527809,-2.7784422,3.55,5.24,858
4-130-HB,413,24/09/2025,grass,moss,,,,54.526551,-2.7770431,3.55,3.81,613
5-139-HH,413,24/09/2025,moss,,,,,54.527218,-2.7752634,3.42,5.12,613
6-125-HH,405,24/09/2025,moss,,,,,54.525879,-2.7739092,3.41,4.57,613
7-136-HH,417,24/09/2025,moss,,,,,54.527537,-2.7774481,3.62,5.93,940
8-133-HB,421,24/09/2025,grass,,,,,54.52735,-2.7785107,3.83,3.63,940
9-134-HB,431,24/09/2025,moss,,,,,54.527802,-2.7794155,4.27,3.65,776
10-129-HH,409,24/09/2025,myrtilus,moss,,,,54.525896,-2.776768,3.42,4.64,695
11-142-HH,416,24/09/2025,moss,myrtilus,,,,54.526933,-2.7733884,3.39,3.81,613
12-141-HH,411,24/09/2025,grass,moss,myrtilus,,,54.527642,-2.7736026,3.51,4.31,858
13-127-HH,403,24/09/2025,grass,,,,,54.525969,-2.7752552,3.82,4.34,776
14-150-HH,390,25/09/2025,myrtilus,moss,,,,54.529279,-2.7678235,3.66,4.23,695
15-154-GB,384,25/09/2025,grass,ranunculus,,,,54.526325,-2.7686952,4.55,5.63,940
16-128-HH,408,24/09/2025,myrtilus,moss,,,,54.525434,-2.7759403,3.42,3.73,858
17-166-GB,343,25/09/2025,grass,,,,,54.52682,-2.7643935,4.02,4.02,613
18-167-GB,331,25/09/2025,ranunculus,grass,,,,54.526941,-2.7637932,3.71,4.08,776
19-147-HH,426,25/09/2025,moss,myrtilus,,,,54.528481,-2.7702809,3.43,4.25,940
20-177-GB,373,26/09/2025,grass,moss,rumex acetosa,,,54.524388,-2.7694931,3.69,4.16,776
21-183-GG,400,26/09/2025,moss,ranunculus,,,,54.525144,-2.7735554,4.28,5.08,940
22-165-GG,358,25/09/2025,grass,ranunculus,,,,54.526932,-2.7651373,4.4,5.16,940
23-146-HH,430,25/09/2025,moss,myrtilus,,,,54.527571,-2.7706191,3.38,4.9,776
24-169-GB,312,26/09/2025,rumex acetosa,moss,grass,,,54.526894,-2.7626643,4.01,4.5,613
25-174-GB,342,26/09/2025,moss,rumex acetosa,ranunculus,,,54.523628,-2.767532,4.28,4.97,695
26-159-GB,392,25/09/2025,grass,ranunculus,rumex acetosa,,,54.524842,-2.7702432,3.68,3.81,940
27-171-GB,327,26/09/2025,grass,,,,,54.525456,-2.7639972,3.59,3.94,858
28-176-GB,361,26/09/2025,rumex acetosa,ranunculus,,,,54.524067,-2.769039,4.48,5.21,613
29-148-HB,419,25/09/2025,moss,oxalis acetosa,,,,54.528547,-2.769834,3.62,2.97,858
30-155-GG,395,25/09/2025,grass,clover,ranunculus,dandelion,,54.526257,-2.7695437,4.15,4.59,776
32-123-HB,410,24/09/2025,moss,grass,,,,54.526092,-2.7728471,3.79,4.32,695
33-170-GB,311,26/09/2025,grass,,,,,54.526352,-2.7630714,3.69,4.33,776
34-163-GG,374,25/09/2025,grass,ranunculus,,,,54.526413,-2.7662555,4.17,5.38,695
35-182-GG,412,26/09/2025,moss,ranunculus,,,,54.525651,-2.7729469,3.97,4.52,776
36-178-GG,396,26/09/2025,Campanula rotundifolia,,,,,54.525234,-2.7706524,3.97,5.55,858
37-181-GG,413,26/09/2025,moss,white clover,ranunculus,,,54.52598,-2.772057,4.18,4.62,613
38-156-GB,403,25/09/2025,grass,ranunculus,nettles,,,54.52596,-2.7695845,5.37,5.68,695
39-173-GG,335,26/09/2025,moss,ranunculus,,,,54.524067,-2.766227,4.28,4.81,613
40-158-GB,403,25/09/2025,grass,ranunculus,moss,rumex acetosa,,54.525231,-2.7711158,4.41,4.55,858
41-157-GG,413,25/09/2025,grass,clover,,,,54.525719,-2.7707233,4.11,4.88,695
42-144-HB,420,25/09/2025,grass,,,,,54.526582,-2.7707704,3.47,4.57,940
43-180-GG,416,26/09/2025,ranunculus,,,,,54.526076,-2.7711472,7.88,5.46,613
44-153-HH,394,25/09/2025,grass,myrtilus,,,,54.527942,-2.7674121,3.46,3.88,776
45-161-GB,370,25/09/2025,grass,rumex acetosa,ranunculus,,,54.525651,-2.7673382,4.25,5.53,858
46-126-HH,404,24/09/2025,grass,,,,,54.525757,-2.7746022,3.52,4.41,940
47-145-HB,419,25/09/2025,grass,,,,,54.527123,-2.7704562,3.7,4.02,613
48-131-HB,416,24/09/2025,myrtilus,moss,,,,54.526953,-2.777298,3.45,3.91,776
49-140-HB,407,24/09/2025,grass,,,,,54.527749,-2.7751189,3.44,3.07,695
50-160-GG,384,25/09/2025,grass,clover,red clover,ranunculus,rumex acetosa,54.525234,-2.7692463,4.44,6.1,776
51-132-HH,418,24/09/2025,myrtilus,moss,,,,54.52723,-2.7775504,3.29,3.78,695
52-151-HB,386,25/09/2025,moss,grass,,,,54.529699,-2.766657,3.63,3.86,695
53-149-HB,401,25/09/2025,moss,grass,,,,54.528776,-2.7691893,4.01,3.76,858
54-164-GB,366,25/09/2025,moss,rumex acetosa,,,,54.526677,-2.7656579,4.97,6.69,940
55-124-HB,417,24/09/2025,grass,moss,,,,54.526197,-2.7732508,3.57,3.77,858
56-179-GG,407,26/09/2025,Rumex acetosa,ranunculus,,,,54.525604,-2.7719417,4.14,4.66,858
57-152-HB,388,25/09/2025,grass,myrtilus,,,,54.529473,-2.7655248,3.46,4.17,776
58-162-GG,376,25/09/2025,grass,thistle,ranunculus,,,54.526291,-2.766964,4.63,5.81,858
59-172-GG,331,26/09/2025,ranunculus,moss,,,,54.524468,-2.7654465,4.82,5.96,695
60-168-GB,292,25/09/2025,grass,ranunculus,,,,54.527444,-2.7623501,4.02,4.76,695
