Mesocosm Code,Habitat,Bracken,Rainfall Intensity,,Applied rainfall?,Rainfall date/vat no.,approx. vol lysate (ml),,,,
4-130-HB,Heathland,Present,613,Rack 1,y,mix1,500,,rainfall vat,Sep1,613
14-150-HH,Heathland,Absent,695,,y,mix1,600,,,Sep2,695
27-171-GB,Grassland,Present,858,,y,mix1,800,,,Jul1,776
13-127-HH,Heathland,Absent,776,,y,mix1,700,,,,858
56-179-GG,Grassland,Absent,858,,y,mix1,750,,,,940
8-133-HB,Heathland,Present,940,,y,mix1,,,,,
24-169-GB,Grassland,Present,613,,y,mix1,525,,,,
21-183-GG,Grassland,Absent,940,,y,mix1,,,,,
49-140-HB,Heathland,Present,695,,y,mix1,600,,,,
12-141-HH,Heathland,Absent,858,,y,mix1,,,,,
33-170-GB,Grassland,Present,776,,y,mix1,700,,,,
39-173-GG,Grassland,Absent,613,,y,mix1,500,,,,
,,,,,,,,,,,
48-131-HB,Heathland,Present,776,Rack 2,y,mix1,750,,,,
46-126-HH,Heathland,Absent,940,,y,mix1,850,,,,
41-157-GG,Grassland,Absent,695,,y,mix1,600,,,,
25-174-GB,Grassland,Present,695,,y,mix1,600,,,,
42-144-HB,Heathland,Present,940,,y,mix1,875,,,,
10-129-HH,Heathland,Absent,695,,y,mix1,600,,,,
17-166-GB,Grassland,Present,613,,y,mix1,500,,,,
30-155-GG,Grassland,Absent,776,,y,mix1,650,,,,
32-123-HB,Heathland,Present,695,,y,mix1,600,,,,
16-128-HH,Heathland,Absent,858,,yn,mix1,800,,,,
54-164-GB,Grassland,Present,940,,y,mix1,825,,,,
50-160-GG,Grassland,Absent,776,,y,mix1,700,,,,
,,,,,,,,,,,
53-149-HB,Heathland,Present,858,Rack 3,y,mix2,700,,,,
23-146-HH,Heathland,Absent,776,,y,mix2,650,,,,
45-161-GB,Grassland,Present,858,,y,mix1,750,,,,
36-178-GG,Grassland,Absent,858,,y,mix1,750,,,,
2-138-HB,Heathland,Present,613,,y,mix2,525,,,,
5-139-HH,Heathland,Absent,613,,y,mix1,500,,,,
18-167-GB,Grassland,Present,776,,y,mix1,650,,,,
43-180-GG,Grassland,Absent,613,,y,mix2,525,,,,
29-148-HB,Heathland,Present,858,,y,mix1,725,,,,
19-147-HH,Heathland,Absent,940,,y,mix2,850,,,,
38-156-GB,Grassland,Present,695,,y,mix2,525,,,,
59-172-GG,Grassland,Absent,695,,y,mix2,600,,,,
,,,,,,,,,,,
9-134-HB,Heathland,Present,776,Rack 4,y,mix2,650,,,,
7-136-HH,Heathland,Absent,940,,y,mix2,850,,,,
15-154-GB,Grassland,Present,940,,y,mix2,825,,,,
35-182-GG,Grassland,Absent,776,,y,mix2,700,,,,
1-137-HB,Heathland,Present,940,,y,mix2,800,,,,
6-125-HH,Heathland,Absent,613,,y,mix2,500,,,,
26-159-GB,Grassland,Present,940,,y,mix2,850,,,,
34-163-GG,Grassland,Absent,695,,y,mix2,600,,,,
55-124-HB,Heathland,Present,858,,y,mix2,750,,,,
51-132-HH,Heathland,Absent,695,,y,mix2,625,,,,
28-176-GB,Grassland,Present,613,,y,mix2,500,,,,
58-162-GG,Grassland,Absent,858,,y,mix2,800,,,,
,,,,,,,,,,,
47-145-HB,Heathland,Present,613,Rack 5,y,mix2,500,,,,
44-153-HH,Heathland,Absent,776,,y,mix2,600,,,,
60-168-GB,Grassland,Present,695,,y,mix2,575,,,,
37-181-GG,Grassland,Absent,613,,y,mix2,500,,,,
57-152-HB,Heathland,Present,776,,y,mix2,700,,,,
3-135-HH,Heathland,Absent,858,,y,mix2,725,,,,
40-158-GB,Grassland,Present,858,,y,mix2,675,,,,
22-165-GG,Grassland,Absent,940,,y,mix2,875,,,,
52-151-HB,Heathland,Present,695,,y,mix2,550,,,,
11-142-HH,Heathland,Absent,613,,y,mix2,500,,,,
20-177-GB,Grassland,Present,776,,y,mix2,650,,,,