Sample ID,Tray mass (g),Wet soil + tray (g),Dry soil + tray (g),Wet soil mass (g),Dry soil mass (g),Soil moisture (% wet mass),sample_id
4-130-HB,1.73,4.88,2.47,3.15,0.74,76.50793651,4-130-HB
14-150-HH,2.04,5.18,2.80,3.14,0.76,75.79617834,14-150-HH
27-171-GB,1.71,5.15,2.87,3.44,1.16,66.27906977,27-171-GB
13-127-HH,1.74,5.13,2.22,3.39,0.48,85.84070796,13-127-HH
56-179-GG,1.72,5.30,2.92,3.58,1.20,66.48044693,56-179-GG
8-133-HB,1.73,5.24,2.39,3.51,0.66,81.1965812,8-133-HB
24-169-GB,1.71,5.60,4.04,3.89,2.33,40.10282776,24-169-GB
21-183-GG,1.72,4.91,2.87,3.19,1.15,63.94984326,21-183-GG
49-140-HB,1.76,5.08,2.96,3.32,1.20,63.85542169,49-140-HB
12-141-HH,1.73,5.27,2.54,3.54,0.81,77.11864407,12-141-HH
33-170-GB,1.71,5.22,3.55,3.51,1.84,47.57834758,33-170-GB
39-173-GG,1.73,5.63,3.97,3.90,2.24,42.56410256,39-173-GG
48-131-HB,1.69,4.82,2.87,3.13,1.18,62.30031949,48-131-HB
46-126-HH,1.70,5.07,2.41,3.37,0.71,78.93175074,46-126-HH
41-157-GG,1.73,5.61,2.62,3.88,0.89,77.06185567,41-157-GG
25-174-GB,1.73,5.14,3.47,3.41,1.74,48.97360704,25-174-GB
42-144-HB,1.71,5.35,3.25,3.64,1.54,57.69230769,42-144-HB
10-129-HH,1.70,5.34,2.43,3.64,0.73,79.94505495,10-129-HH
17-166-GB,2.07,6.52,4.83,4.45,2.76,37.97752809,17-166-GB
30-155-GG,2.02,6.52,3.99,4.50,1.97,56.22222222,30-155-GG
32-123-HB,2.05,5.79,4.20,3.74,2.15,42.51336898,32-123-HB
16-128-HH,2.03,5.05,2.68,3.02,0.65,78.47682119,16-128-HH
54-164-GB,2.02,5.65,3.72,3.63,1.70,53.16804408,54-164-GB
50-160-GG,2.03,5.88,4.60,3.85,2.57,33.24675325,50-160-GG
53-149-HB,2.06,5.91,2.90,3.85,0.84,78.18181818,53-149-HB
23-146-HH,2.00,5.38,2.79,3.38,0.79,76.62721893,23-146-HH
45-161-GB,2.03,5.49,3.97,3.46,1.94,43.93063584,45-161-GB
36-178-GG,2.04,5.45,4.21,3.41,2.17,36.36363636,36-178-GG
2-138-HB,1.71,5.69,3.33,3.98,1.62,59.29648241,2-138-HB
5-139-HH,2.05,5.51,2.93,3.46,0.88,74.56647399,5-139-HH
18-167-GB,1.74,5.83,3.95,4.09,2.21,45.96577017,18-167-GB
43-180-GG,1.71,5.68,2.58,3.97,0.87,78.08564232,43-180-GG
29-148-HB,2.06,5.72,3.53,3.66,1.47,59.83606557,29-148-HB
19-147-HH,2.05,5.77,2.83,3.72,0.78,79.03225806,19-147-HH
38-156-GB,1.73,6.03,4.19,4.30,2.46,42.79069767,38-156-GB
59-172-GG,1.70,6.19,4.27,4.49,2.57,42.76169265,59-172-GG
9-134-HB,2.07,5.59,3.44,3.52,1.37,61.07954545,9-134-HB
7-136-HH,2.03,5.35,2.82,3.32,0.79,76.20481928,7-136-HH
15-154-GB,1.72,5.69,4.16,3.97,2.44,38.53904282,15-154-GB
35-182-GG,1.72,5.65,2.81,3.93,1.09,72.26463104,35-182-GG
1-137-HB,1.74,5.41,3.29,3.67,1.55,57.76566757,1-137-HB
6-125-HH,1.72,5.52,2.38,3.80,0.66,82.63157895,6-125-HH
26-159-GB,1.72,5.70,3.44,3.98,1.72,56.7839196,26-159-GB
34-163-GG,1.75,5.90,3.93,4.15,2.18,47.46987952,34-163-GG
55-124-HB,1.76,5.07,3.14,3.31,1.38,58.3081571,55-124-HB
51-132-HH,2.07,5.59,2.68,3.52,0.61,82.67045455,51-132-HH
28-176-GB,2.08,6.59,4.69,4.51,2.61,42.1286031,28-176-GB
58-162-GG,2.20,6.73,4.80,4.53,2.60,42.60485651,58-162-GG
47-145-HB,1.71,5.12,3.08,3.41,1.37,59.82404692,47-145-HB
44-153-HH,1.72,5.36,2.39,3.64,0.67,81.59340659,44-153-HH
60-168-GB,2.04,5.75,3.96,3.71,1.92,48.24797844,60-168-GB
37-181-GG,2.02,6.16,4.24,4.14,2.22,46.37681159,37-181-GG
57-152-HB,1.72,6.31,3.94,4.59,2.22,51.63398693,57-152-HB
3-135-HH,2.06,5.82,2.93,3.76,0.87,76.86170213,3-135-HH
40-158-GB,2.19,5.90,4.16,3.71,1.97,46.90026954,40-158-GB
22-165-GG,1.72,6.19,3.13,4.47,1.41,68.45637584,22-165-GG
52-151-HB,1.74,6.32,4.22,4.58,2.48,45.85152838,52-151-HB
11-142-HH,1.72,6.54,2.56,4.82,0.84,82.57261411,11-142-HH
20-177-GB,1.74,5.55,3.16,3.81,1.42,62.72965879,20-177-GB