sample_id,start_time,end_time,slope_ppm_per_sec,r2,adj_r2,p_value,Habitat,Bracken,Headspace height (cm),Headspace volume (m3),Chamber volume (m3),Tube internal diameter  (m),Tube length (m),Tube volume (m3),White plastic fitting internal volume (m3),Los Gatos internal volume (ml),V (m3),V (L),p (atm),A (m2),R (L atm mol-1 K-1),T (K),CH4 flux (nmol CH4 per s per m2)
4-130-HB,2025-09-29T16:34:41Z,2025-09-29T16:36:25Z,-8.377049579687702e-5,0.15947246305010973,0.1514674388886823,2.0355000739616187e-5,Heathland,Present,5.5,4.49421e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001486465,1.486464949,1,0.008171282,0.082058,288,-0.6448254124227171
14-150-HH,2025-09-29T16:38:51Z,2025-09-29T16:40:38Z,-3.1811390212516925e-5,0.03951104084342808,0.030617624554941214,0.03736406795777472,Heathland,Absent,3,2.45138e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001282183,1.282182886,1,0.008171282,0.082058,288,-0.2112170684228867
27-171-GB,2025-09-29T16:48:13Z,2025-09-29T16:49:50Z,-9.055691688904154e-5,0.31494373098682066,0.3079533608948495,1.2522714631485414e-9,Grassland,Present,3.5,2.85995e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001323039,1.323039299,1,0.008171282,0.082058,288,-0.6204270985384567
13-127-HH,2025-09-29T16:51:42Z,2025-09-29T16:53:05Z,-2.8311736296562153e-5,0.04405097923582854,0.03253352115433261,0.053866386028132145,Heathland,Absent,4,3.26851e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001363896,1.363895711,1,0.008171282,0.082058,288,-0.19996042630784902
56-179-GG,2025-09-29T16:54:37Z,2025-09-29T16:56:12Z,-2.1945225155836532e-5,0.04458219869161769,0.034629929927988634,0.0368880808364109,Grassland,Absent,3.5,2.85995e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001323039,1.323039299,1,0.008171282,0.082058,288,-0.15035198677193964
8-133-HB,2025-09-29T16:57:42Z,2025-09-29T16:59:25Z,-1.715338872193758e-4,0.8059585512302706,0.8040746536693995,1.848791341519694e-38,Heathland,Present,2.5,2.04282e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001241326,1.241326474,1,0.008171282,0.082058,288,-1.1026364199372445
24-169-GB,2025-09-29T17:01:00Z,2025-09-29T17:02:35Z,-2.1411570291069484e-4,0.8927169705874297,0.8915994390310488,2.5076965113485825e-48,Grassland,Present,4,3.26851e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001363896,1.363895711,1,0.008171282,0.082058,288,-1.5122586189963279
21-183-GG,2025-09-29T17:04:00Z,2025-09-29T17:05:35Z,-6.088606897093282e-5,0.3593057854943548,0.3525616358679796,8.759172593173055e-11,Grassland,Absent,4.5,3.67708e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001404752,1.404752124,1,0.008171282,0.082058,288,-0.44290850355167555
49-140-HB,2025-09-29T17:07:01Z,2025-09-29T17:08:36Z,-1.8004390792811893e-4,0.8569625576074492,0.8554569003191066,6.738647520413644e-42,Heathland,Present,3.5,2.85995e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001323039,1.323039299,1,0.008171282,0.082058,288,-1.233523879155888
12-141-HH,2025-09-29T17:10:00Z,2025-09-29T17:11:35Z,-5.277434170876952e-6,0.004887822620676879,-0.005587042404368692,0.49620698994901746,Heathland,Absent,4,3.26851e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001363896,1.363895711,1,0.008171282,0.082058,288,-0.03727351708726906
33-170-GB,2025-09-29T17:13:00Z,2025-09-29T17:14:35Z,-1.4388949869465896e-4,0.8016467419748817,0.7995805622037867,1.7126963589927217e-35,Grassland,Present,3.5,2.85995e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001323039,1.323039299,1,0.008171282,0.082058,288,-0.9858213734757063
39-173-GG,2025-09-29T17:16:25Z,2025-09-29T17:18:00Z,1.5110184190677087e-6,5.387064024723377e-4,-0.009872348739168757,0.8205401794843297,Grassland,Absent,4,3.26851e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001363896,1.363895711,1,0.008171282,0.082058,288,0.010672036644834104
48-131-HB,2025-09-29T17:19:25Z,2025-09-29T17:21:00Z,-8.2718078146507e-5,0.5946865913039149,0.5904201343702719,2.4652536025931793e-20,Heathland,Present,6,4.90277e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001527321,1.527321361,1,0.008171282,0.082058,288,-0.6542251676747053
46-126-HH,2025-09-29T17:22:20Z,2025-09-29T17:23:55Z,4.211194161260327e-6,0.0036258965487083257,-0.006862251908673622,0.5579447386317617,Heathland,Absent,4.66,3.80782e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001417826,1.417826176,1,0.008171282,0.082058,288,0.030918943191006035
41-157-GG,2025-09-29T17:25:26Z,2025-09-29T17:27:01Z,-5.820187169314438e-5,0.4300615456192538,0.42406219346787755,3.0992083657081625e-13,Grassland,Absent,3,2.45138e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001282183,1.282182886,1,0.008171282,0.082058,288,-0.3864411028133531
25-174-GB,2025-09-29T17:28:25Z,2025-09-29T17:29:08Z,-1.1290425758860205e-4,0.4878333609804645,0.4756389171942851,1.3533195650481357e-7,Grassland,Present,4.5,3.67708e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001404752,1.404752124,1,0.008171282,0.082058,288,-0.8213086608868404
42-144-HB,2025-09-29T17:30:25Z,2025-09-29T17:32:00Z,-4.711733671066659e-4,0.9834075932302531,0.9832329363168874,2.297147859630227e-86,Heathland,Present,4,3.26851e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001363896,1.363895711,1,0.008171282,0.082058,288,-3.327808169892924
10-129-HH,2025-09-29T17:33:27Z,2025-09-29T17:37:00Z,-2.619038649695096e-5,0.4534941092731951,0.4509639894087192,3.6626838928011734e-30,Heathland,Absent,2,1.63426e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.00120047,1.200470061,1,0.008171282,0.082058,288,-0.16281320545106975
17-166-GB,2025-09-29T17:38:37Z,2025-09-29T17:40:00Z,-1.9060716923893802e-4,0.916621736214246,0.915617178819237,1.5248512039192692e-46,Grassland,Present,5,4.08564e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001445609,1.445608536,1,0.008171282,0.082058,288,-1.426876289598933
30-155-GG,2025-09-29T17:41:25Z,2025-09-29T17:43:00Z,-3.3979794492633196e-5,0.2703488325472417,0.2626682939424757,4.8149759002110214e-8,Grassland,Absent,3.83,3.1296e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001350005,1.350004531,1,0.008171282,0.082058,288,-0.23754853690003108
32-123-HB,2025-09-29T17:44:25Z,2025-09-29T17:46:00Z,-3.38744694183034e-4,0.9694830414053732,0.9691618102622719,8.594760323641375e-74,Heathland,Present,6,4.90277e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001527321,1.527321361,1,0.008171282,0.082058,288,-2.6791640874235
16-128-HH,2025-09-29T17:48:25Z,2025-09-29T17:50:00Z,-1.2758348852935142e-6,4.0076350383164746e-4,-0.010121333722443726,0.8456837378447783,Heathland,Absent,4.75,3.88136e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.00142518,1.42518033,1,0.008171282,0.082058,288,-0.009415874870187404
54-164-GB,2025-09-29T17:51:25Z,2025-09-29T17:53:00Z,-1.5526406742495945e-4,0.8641992263626941,0.8627697445349329,5.698811024956672e-43,Grassland,Present,3,2.45138e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001282183,1.282182886,1,0.008171282,0.082058,288,-1.0309018541418422
50-160-GG,2025-09-29T17:54:20Z,2025-09-29T17:56:00Z,-2.2011537783194407e-4,0.9509021598038264,0.9504111814018646,2.9153201644793228e-67,Grassland,Absent,4.25,3.4728e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001384324,1.384323917,1,0.008171282,0.082058,288,-1.5779182261599516
53-149-HB,2025-09-29T17:57:25Z,2025-09-29T17:59:00Z,-5.945880929541099e-4,0.9908285347795832,0.9907329986835373,1.2843753273804726e-99,Heathland,Present,4.5,3.67708e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001404752,1.404752124,1,0.008171282,0.082058,288,-4.3252607194212604
23-146-HH,2025-09-29T18:00:25Z,2025-09-29T18:02:00Z,1.479662304290679e-6,6.238489722536749e-4,-0.009895899985933099,0.8081266346513769,Heathland,Absent,8,6.53703e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001690747,1.690747011,1,0.008171282,0.082058,288,0.01295500616634778
45-161-GB,2025-09-29T18:03:25Z,2025-09-29T18:05:08Z,-8.093107181234878e-5,0.6998848471331087,0.6969711077848865,1.123377931197248e-28,Grassland,Present,4.25,3.4728e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001384324,1.384323917,1,0.008171282,0.082058,288,-0.5801621610138695
36-178-GG,2025-09-29T18:06:25Z,2025-09-29T18:08:05Z,-2.995501366218615e-4,0.9621531249231201,0.9617784033877055,1.2515060523110936e-73,Grassland,Absent,6.75,5.51562e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001588606,1.58860598,1,0.008171282,0.082058,288,-2.464234881922693
2-138-HB,2025-09-29T18:10:05Z,2025-09-29T18:11:40Z,-1.1945689541707507e-4,0.8369849757283844,0.8352869025588884,1.3626429531355591e-39,Heathland,Present,5,4.08564e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001445609,1.445608536,1,0.008171282,0.082058,288,-0.8942486915906812
5-139-HH,2025-09-29T18:13:05Z,2025-09-29T18:14:40Z,-6.553231860813698e-5,0.5852558430545383,0.5808901150866913,7.408111260930764e-20,Heathland,Absent,3.75,3.06423e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001343468,1.343467505,1,0.008171282,0.082058,288,-0.45590996652445526
18-167-GB,2025-09-29T18:16:05Z,2025-09-29T18:17:42Z,-6.480258813966145e-4,0.992600453124338,0.9925241691359291,3.676745475306107e-105,Grassland,Present,2.25,1.83854e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001220898,1.220898268,1,0.008171282,0.082058,288,-4.097021234461238
43-180-GG,2025-09-29T18:19:25Z,2025-09-29T18:21:02Z,-6.953915848161982e-5,0.5956700506162,0.5915017006225527,8.784040238786398e-21,Grassland,Absent,3.5,2.85995e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001323039,1.323039299,1,0.008171282,0.082058,288,-0.47642940830705593
29-148-HB,2025-09-29T18:23:05Z,2025-09-29T18:24:40Z,-2.481138805489883e-4,0.9472009517789919,0.9466451723240339,1.7709429457752885e-62,Heathland,Present,3.25,2.65567e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001302611,1.302611093,1,0.008171282,0.082058,288,-1.6736406643082757
19-147-HH,2025-09-29T18:26:05Z,2025-09-29T18:27:40Z,-5.147662086889767e-5,0.4883597003534488,0.4829740129887482,1.7330770428892016e-15,Heathland,Absent,2.25,1.83854e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001220898,1.220898268,1,0.008171282,0.082058,288,-0.3254512124170941
38-156-GB,2025-09-29T18:29:25Z,2025-09-29T18:31:00Z,-1.191993182704505e-4,0.8575133161293891,0.8560134562991721,5.608572685014549e-42,Grassland,Present,6.25,5.10705e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.00154775,1.547749567,1,0.008171282,0.082058,288,-0.9553683476663437
59-172-GG,2025-09-29T18:32:25Z,2025-09-29T18:34:00Z,-3.954392872818722e-5,0.3006630397653758,0.2933015980786955,6.104340206541214e-9,Grassland,Absent,2.75,2.2471e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001261755,1.26175468,1,0.008171282,0.082058,288,-0.2583753778581283
9-134-HB,2025-09-29T18:35:25Z,2025-09-29T18:37:00Z,-2.4716033985896173e-4,0.9617241570145224,0.961325450316757,7.913356260790066e-70,Heathland,Present,4.5,3.67708e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001404752,1.404752124,1,0.008171282,0.082058,288,-1.7979386436742582
7-136-HH,2025-09-29T18:38:32Z,2025-09-29T18:40:00Z,-4.9123092850520496e-5,0.3480144402726823,0.34060551345759915,9.451825426246596e-10,Heathland,Absent,4.75,3.88136e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.00142518,1.42518033,1,0.008171282,0.082058,288,-0.36253664235767374
15-154-GB,2025-09-29T18:44:18Z,2025-09-29T18:47:37Z,-1.8788041190801586e-4,0.9679278997809873,0.9677691270076259,7.492078216862136e-153,Grassland,Present,4,3.26851e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001363896,1.363895711,1,0.008171282,0.082058,288,-1.3269637321601861
35-182-GG,2025-09-29T18:49:25Z,2025-09-29T18:51:00Z,-4.351685165548988e-5,0.33052762235771316,0.32348054469832066,7.344907325625583e-10,Grassland,Absent,5,4.08564e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001445609,1.445608536,1,0.008171282,0.082058,288,-0.32576510145520765
1-137-HB,2025-09-29T18:52:25Z,2025-09-29T18:54:00Z,-2.0616165075906426e-4,0.9354768314955842,0.9348047151569966,6.168857770298443e-59,Heathland,Present,4,3.26851e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001363896,1.363895711,1,0.008171282,0.082058,288,-1.4560806565268185
6-125-HH,2025-09-29T18:55:25Z,2025-09-29T18:57:00Z,1.0649835555225577e-5,0.03375626104833539,0.023585274322528327,0.07163534918647661,Heathland,Absent,6,4.90277e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001527321,1.527321361,1,0.008171282,0.082058,288,0.08423056492542205
26-159-GB,2025-09-29T18:58:44Z,2025-09-29T19:01:10Z,-2.350183744695547e-4,0.9703144330776875,0.970113854922807,6.178549432007715e-115,Grassland,Present,3.5,2.85995e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001323039,1.323039299,1,0.008171282,0.082058,288,-1.6101670991519288
34-163-GG,2025-09-29T19:02:35Z,2025-09-29T19:04:10Z,-2.794289703986865e-5,0.22315551506170797,0.21497820469393647,1.0329781002173633e-6,Grassland,Absent,5.25,4.28992e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001466037,1.466036742,1,0.008171282,0.082058,288,-0.21213516742003646
55-124-HB,2025-09-29T19:05:35Z,2025-09-29T19:12:25Z,-2.2054453079216275e-4,0.9958365471472932,0.99582658673377,0,Heathland,Present,3,2.45138e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001282183,1.282182886,1,0.008171282,0.082058,288,-1.4643424553100046
51-132-HH,2025-09-29T19:14:15Z,2025-09-29T19:15:50Z,-1.1092903490118607e-5,0.04589148922464932,0.03595285890407274,0.03416275196984888,Heathland,Absent,4.25,3.4728e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001384324,1.384323917,1,0.008171282,0.082058,288,-0.0795205440460202
28-176-GB,2025-09-29T19:17:25Z,2025-09-29T19:19:00Z,-1.4022463579555422e-4,0.8765613290712322,0.875261974640403,6.079246128648426e-45,Grassland,Present,4.5,3.67708e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001404752,1.404752124,1,0.008171282,0.082058,288,-1.020047519095666
58-162-GG,2025-09-29T19:20:25Z,2025-09-29T19:22:07Z,-9.421274054965712e-5,0.7508517397802544,0.7484328246324898,7.462906098796859e-33,Grassland,Absent,2.75,2.2471e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001261755,1.26175468,1,0.008171282,0.082058,288,-0.6155749623637197
47-145-HB,2025-09-29T19:23:35Z,2025-09-29T19:25:05Z,-5.3399128825948994e-5,0.4789701904039884,0.47318097029736617,2.1740978244438543e-14,Heathland,Present,5.5,4.49421e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001486465,1.486464949,1,0.008171282,0.082058,288,-0.4110410824319131
44-153-HH,2025-09-29T19:26:35Z,2025-09-29T19:28:36Z,2.4256280508382435e-5,0.21415783615833958,0.20771650694652277,6.250702320843904e-8,Heathland,Absent,2.75,2.2471e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001261755,1.26175468,1,0.008171282,0.082058,288,0.15848768302373395
60-168-GB,2025-09-29T19:30:07Z,2025-09-29T19:33:00Z,-1.3550887718422858e-4,0.9561774136857087,0.9559269989067699,8.66950786110609e-121,Grassland,Present,2.5,2.04282e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001241326,1.241326474,1,0.008171282,0.082058,288,-0.8710641706442712
37-181-GG,2025-09-29T19:34:35Z,2025-09-29T19:36:47Z,-2.555682100857479e-4,0.9811879518593918,0.9810465078884097,1.2395371900402698e-116,Grassland,Absent,1.5,1.22569e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001159614,1.159613649,1,0.008171282,0.082058,288,-1.5346754139194547
57-152-HB,2025-09-29T19:38:27Z,2025-09-29T19:40:16Z,-1.533737968806247e-4,0.919838676672222,0.9191032516875635,1.4659543365110124e-61,Heathland,Present,6,4.90277e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001527321,1.527321361,1,0.008171282,0.082058,288,-1.2130479845459279
3-135-HH,2025-09-29T19:41:55Z,2025-09-29T19:45:00Z,-2.730363719695133e-5,0.43900503978939437,0.4360050667401397,2.9442707173616147e-25,Heathland,Absent,5.25,4.28992e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001466037,1.466036742,1,0.008171282,0.082058,288,-0.20728207385537545
40-158-GB,2025-09-29T19:46:30Z,2025-09-29T19:49:02Z,-2.867270934047072e-4,0.9885125203312316,0.9884379263074085,2.800640999180394e-151,Grassland,Present,1.5,1.22569e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001159614,1.159613649,1,0.008171282,0.082058,288,-1.721783083291744
22-165-GG,2025-09-29T19:50:26Z,2025-09-29T19:52:06Z,-3.7013883700811745e-5,0.3741549979399247,0.3678965479193239,8.527295306969161e-12,Grassland,Absent,2.75,2.2471e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001261755,1.26175468,1,0.008171282,0.082058,288,-0.24184436131600473
52-151-HB,2025-09-29T19:53:30Z,2025-09-29T19:55:00Z,-5.691993756597671e-4,0.9887558260544949,0.9886308907884337,1.651027317060438e-89,Heathland,Present,4.75,3.88136e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.00142518,1.42518033,1,0.008171282,0.082058,288,-4.200786605837456
11-142-HH,2025-09-29T19:56:25Z,2025-09-29T19:58:00Z,1.2476054707999122e-4,0.7516077778459473,0.7489931228759047,1.743921275876706e-30,Heathland,Absent,3.5,2.85995e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001323039,1.323039299,1,0.008171282,0.082058,288,0.8547643503781475
20-177-GB,2025-09-29T19:59:25Z,2025-09-29T20:01:00Z,-3.2069086259192117e-4,0.9686535267922688,0.9683270010296883,5.4138081902000645e-74,Grassland,Present,3.75,3.06423e-4,9.14469e-4,0.003,3.12,2.2054e-5,5.21504e-7,100,0.001343468,1.343467505,1,0.008171282,0.082058,288,-2.2310542879346165
